Ubicación,Código de moneda,CPV prom.,CPM prom.,Impr.,Interacciones,Porcentaje de interacción,Costo prom.,Costo,Todas las conv.,Clics,CTR,Porcentaje de conv.,Conversiones,Costo/conv.
"Ciudad de Córdoba, Provincia de Córdoba",ARS,0,"6224,07",38439,2266,"5,9%","105,58","239246,97","491,86",2266,"5,9%","0,39%","8,86","26992,27"
"San Miguel de Tucumán, Provincia de Tucumán",ARS,0,"38,31",6233441,14961,"0,24%","15,96","238820,9","1916,27",14961,"0,24%","10,07%","1506,27","158,55"
"7.0|km|Rosario, Santa Fe",ARS,0,"92,44",2580251,2452,"0,1%","97,28","238527,56",31,2452,"0,1%",0%,0,0
"2.0|km|Avenida Raúl Alfonsín 3525, Corrientes",ARS,0,"84,33",2826191,2433,"0,09%","97,96","238337,75",19,2433,"0,09%",0%,0,0
"7.0|km|Hipermercado Super Resistencia, Resistencia, Chaco",ARS,"0,85","670,42",355424,279690,"78,69%","0,85","238282,11","365,23",480,"0,14%","0,01%","28,23","8441,36"
"7.0|km|Hipermercados Super cerca de Mendoza, Capital, Mendoza",ARS,"0,91","484,46",487475,292949,"60,1%","0,81","236163,15","427,84",229,"0,05%","0,01%","14,84","15910,25"
"San Miguel de Tucumán, Provincia de Tucumán",ARS,0,"2027,52",116230,43943,"37,81%","5,36","235658,95","29341,72",43943,"37,81%","47,72%","20968,72","11,24"
"4.0|km|Hipermercado Super, Avenida General Roca, San Miguel de Tucumán, Tucumán",ARS,0,"81,84",2848498,2960,"0,1%","78,76","233122,22",48,2960,"0,1%","0,03%",1,"233122,22"
"3.0|km|Maipú, Mendoza",ARS,0,"2536,18",91677,12352,"13,47%","18,82","232509,53","7997,71",12352,"13,47%","5,15%","635,6","365,81"
"Mendoza, Provincia de Mendoza",ARS,0,"49,71",4672643,19385,"0,41%","11,98","232265,43","723,46",19385,"0,41%","2,3%","446,46","520,24"
"3.0|km|Hiper Super, Santiago del Estero",ARS,0,"105,45",2197830,3591,"0,16%","64,54","231759,42",43,3591,"0,16%","0,08%",3,"77253,14"
"San Juan, Provincia de San Juan",ARS,0,"40,21",5716986,12993,"0,23%","17,69","229864,25","899,74",12993,"0,23%","3,12%","405,74","566,53"
"Ciudad de Córdoba, Provincia de Córdoba",ARS,0,"277,8",825161,27555,"3,34%","8,32","229233,57","2386,96",22890,"2,77%","6,47%","1783,84","128,51"
"2.0|km|Villa Krause, San Juan",ARS,0,"2873,8",79550,13315,"16,74%","17,17","228611,06","5588,04",13315,"16,74%","4,55%","605,5","377,56"
7.0|km|Córdoba,ARS,0,"95,76",2370409,2911,"0,12%","77,98","227000,13","69,79",2911,"0,12%","0,54%","15,79","14380,08"
"Ciudad de Córdoba, Provincia de Córdoba",ARS,0,"59,68",3791175,12139,"0,32%","18,64","226243,63","4316,8",12139,"0,32%","1,58%","191,61","1180,78"
"Rosario, Provincia de Santa Fe",ARS,0,"189,72",1187944,36189,"3,05%","6,23","225378,54","1243,29",29717,"2,5%","2,87%",1037,"217,34"
"Mendoza, Provincia de Mendoza",ARS,0,"67,84",3306307,9997,"0,3%","22,44","224309,42","649,25",9997,"0,3%","2,47%","247,25","907,22"
5.0|millas|Córdoba,ARS,0,"68,96",3252333,3843,"0,12%","58,36","224280,39","370,35",3843,"0,12%","0,4%","15,51","14459,43"
"Ciudad de Córdoba, Provincia de Córdoba",ARS,0,"51,31",4350022,3780,"0,09%","59,05","223210,49","277,11",3780,"0,09%","0,03%","1,11","201906,71"
"2.0|km|Banda del Río Salí, Tucumán",ARS,0,"2761,12",78968,14597,"18,48%","14,94","218040,14","6379,23",14597,"18,48%","5,31%","775,37","281,21"
"4.0|km|La Banda, Santiago del Estero",ARS,0,"3926,6",55427,25470,"45,95%","8,54","217639,75","16667,16",25470,"45,95%","53,24%","13561,16","16,05"
3.0|km|Santiago del Estero,ARS,0,"63,58",3403654,9299,"0,27%","23,27","216413,64","2821,06",9299,"0,27%","21,78%","2025,06","106,87"
"7.0|km|Hipermercado Super Resistencia, Resistencia, Chaco",ARS,0,"113,72",1887167,1886,"0,1%","113,79","214600,71","10,52",1886,"0,1%","0,45%","8,52","25175,42"
"Rosario, Provincia de Santa Fe",ARS,0,"5929,58",35994,2818,"7,83%","75,74","213429,47","364,25",2818,"7,83%","0,65%","18,25","11695,17"
"2.0|km|Barrio Vinalar, Doctor Santiago Corbalan, Santiago del Estero",ARS,0,"116,32",1832037,2396,"0,13%","88,94","213099,63",7,2396,"0,13%","0,13%",3,"71033,21"
"Ciudad de Córdoba, Provincia de Córdoba",ARS,0,"58,5",3582201,8459,"0,24%","24,77","209542,63","2353,53",8459,"0,24%","21,07%","1782,53","117,55"
"Resistencia, Provincia del Chaco",ARS,0,"90,64",2300925,9519,"0,41%","21,91","208564,66",1788,9519,"0,41%","13,79%",1313,"158,85"
Posadas,ARS,0,"829,17",250886,14849,"5,92%","14,01","208026,46","353,93",12525,"4,99%","0,36%","54,03","3850,5"
"Ciudad de Córdoba, Provincia de Córdoba",ARS,0,"42,5",4874161,18593,"0,38%","11,14","207170,96","5137,93",18593,"0,38%","22,89%","4255,93","48,68"
"San Miguel de Tucumán, Provincia de Tucumán",ARS,0,"46,14",4473290,17668,"0,39%","11,68","206377,44","890,76",17668,"0,39%","3,68%","650,76","317,13"
"2.0|km|Barrio Vinalar, Doctor Santiago Corbalan, Santiago del Estero",ARS,0,"94,21",2189736,2175,"0,1%","94,85","206294,66",7,2175,"0,1%",0%,0,0
Provincia de Mendoza,ARS,0,"69,19",2952889,16023,"0,54%","12,75","204318,59","797,27",16010,"0,54%","3,16%","506,27","403,58"
"Mendoza, Provincia de Mendoza",ARS,0,"146,4",1389306,35136,"2,53%","5,79","203390,62","12818,24",34482,"2,48%","1,87%","657,98","309,11"
"3.0|km|Avenida Raúl Alfonsín 3525, Corrientes",ARS,0,"112,93",1777253,1870,"0,11%","107,33","200704,52","16,21",1870,"0,11%","0,12%","2,21","90921,15"
"Rosario, Provincia de Santa Fe",ARS,0,"106,7",1880825,6994,"0,37%","28,69","200687,45","248,69",6994,"0,37%","3,17%","221,69","905,27"
"5.0|millas|Rosario, Santa Fe",ARS,0,"69,34",2883047,3008,"0,1%","66,46","199910,99","94,95",3008,"0,1%","0,06%","1,8","111061,66"
"Ciudad de Córdoba, Provincia de Córdoba",ARS,0,"207,91",961266,37716,"3,92%","5,3","199854,02","4129,12",19214,2%,"1,49%","562,95","355,01"
3.0|km|Salta,ARS,0,"66,09",3021826,11867,"0,39%","16,83","199711,82","428,14",11867,"0,39%","2,23%","264,14","756,09"
"4.0|km|Guaymallén, Mendoza",ARS,0,"64,76",3067933,4056,"0,13%","48,98","198666,21",328,4056,"0,13%","0,1%",4,"49666,55"
Posadas,ARS,0,"33,13",5993403,9187,"0,15%","21,61","198572,69","645,47",9187,"0,15%","2,68%","246,47","805,66"
"3.0|km|Yerba Buena, Tucumán",ARS,"3,81","1114,82",177985,8299,"4,66%","23,91","198421,92","531,22",8202,"4,61%","2,98%","247,22","802,61"
"Rosario, Provincia de Santa Fe",ARS,0,"86,71",2283511,6838,"0,3%","28,96","197996,12","1276,66",6838,"0,3%","15,91%","1087,66","182,04"
"3.0|km|Posadas, Misiones",ARS,0,62,3192635,13709,"0,43%","14,44","197931,11","835,03",13709,"0,43%","4,09%","560,03","353,43"
"5.0|km|Hiper Super, Avenida Sabattini, AUX, Córdoba",ARS,0,"82,63",2385315,1510,"0,06%","130,53","197102,95",7,1510,"0,06%","0,07%",1,"197102,95"
"3.0|km|Rivadavia, San Juan",ARS,0,"2829,18",68226,11588,"16,98%","16,66","193023,4","6176,96",11588,"16,98%","5,91%","684,63","281,94"
"Rosario, Provincia de Santa Fe",ARS,0,"182,79",1030115,1831,"0,18%","102,84","188298,13",0,1831,"0,18%",0%,0,0
"4.0|km|Paseo Super, Scalabrini Ortiz Norte, San Juan",ARS,"0,95","493,82",376225,223678,"59,45%","0,83","185787,99","225,92",148,"0,04%",0%,"7,92","23451,95"
"Ciudad de Córdoba, Provincia de Córdoba",ARS,0,"48,75",3797601,14185,"0,37%","13,05","185115,01","4805,78",14185,"0,37%","24,86%","3525,78","52,5"
"Ciudad de Córdoba, Provincia de Córdoba",ARS,0,"83,09",2221269,3008,"0,14%","61,36","184565,24","166,58",3008,"0,14%","0,02%","0,58","320580,49"
"Rosario, Provincia de Santa Fe",ARS,0,"403,04",457804,15170,"3,31%","12,16","184511,7","313,15",10329,"2,26%","0,22%","33,53","5502,62"
"Rosario, Provincia de Santa Fe",ARS,0,"323,57",570202,22872,"4,01%","8,07","184499,07","1222,76",11354,"1,99%","2,66%","607,93","303,49"
"4.0|km|Godoy Cruz, Mendoza",ARS,0,"64,7",2841533,3739,"0,13%","49,17","183853,63","562,51",3739,"0,13%","0,84%","31,51","5835,03"
"Ciudad de Córdoba, Provincia de Córdoba",ARS,0,"38,03",4821971,8309,"0,17%","22,07","183361,45","485,1",8309,"0,17%","2,35%","195,1","939,82"
"Rosario, Provincia de Santa Fe",ARS,0,"167,1",1094634,29956,"2,74%","6,11","182914,43","12783,42",29366,"2,68%","1,38%","414,47","441,32"
Salta,ARS,0,"70,38",2591331,7232,"0,28%","25,22","182375,04","637,9",7232,"0,28%","6,26%","452,9","402,68"
"Ciudad de Córdoba, Provincia de Córdoba",ARS,0,"1228,23",148460,12905,"8,69%","14,13","182342,42","92,68",5577,"3,76%","0,27%","34,68","5257,2"
"Ciudad de Córdoba, Provincia de Córdoba",ARS,0,"863,13",210545,16796,"7,98%","10,82","181727,71","283,23",3305,"1,57%",0%,0,0
"7.0|km|Hipermercado Super Resistencia, Resistencia, Chaco",ARS,"0,87","444,2",406407,239682,"58,98%","0,75","180526,63","115,91",127,"0,03%","0,01%","17,91","10081,23"
